series_id                     	year	period	       value	
LAUCN280030000000003          	2011	M06	        11.1	
LAUCN280030000000003          	2012	M06	         9.0	
LAUCN280030000000003          	2013	M06	         8.5	
LAUCN280030000000003          	2014	M06	         7.3	
LAUCN280030000000003          	2015	M06	         6.3	
LAUCN280030000000004          	2010	M06	        1829	
LAUCN280030000000004          	2011	M06	        1804	
LAUCN280030000000004          	2012	M06	        1466	
LAUCN280030000000004          	2013	M06	        1340	
LAUCN280030000000004          	2014	M06	        1104	
LAUCN280030000000004          	2015	M06	        1011	
LAUCN280030000000005          	2010	M06	       14155	
LAUCN280030000000005          	2011	M06	       14447	
LAUCN280030000000005          	2012	M06	       14794	
LAUCN280030000000005          	2013	M06	       14377	
LAUCN280030000000005          	2014	M06	       14117	
LAUCN280030000000005          	2015	M06	       15075	
LAUCN280030000000006          	2010	M06	       15984	
LAUCN280030000000006          	2011	M06	       16251	
LAUCN280030000000006          	2012	M06	       16260	
LAUCN280030000000006          	2013	M06	       15717	
LAUCN280030000000006          	2014	M06	       15221	
LAUCN280030000000006          	2015	M06	       16086	
LAUCN280050000000003          	2010	M06	        13.0	
LAUCN280050000000003          	2011	M06	        12.7	
LAUCN280050000000003          	2012	M06	        11.1	
LAUCN280050000000003          	2013	M06	        10.5	
LAUCN280050000000003          	2014	M06	         8.8	
LAUCN280050000000003          	2015	M06	         8.8	
LAUCN280050000000004          	2010	M06	         634	
LAUCN280050000000004          	2011	M06	         633	
LAUCN280050000000004          	2012	M06	         530	
LAUCN280050000000004          	2013	M06	         482	
LAUCN280050000000004          	2014	M06	         390	
LAUCN280050000000004          	2015	M06	         401	
LAUCN280050000000005          	2010	M06	        4242	
LAUCN280050000000005          	2011	M06	        4362	
LAUCN280050000000005          	2012	M06	        4226	
LAUCN280050000000005          	2013	M06	        4091	
LAUCN280050000000005          	2014	M06	        4040	
LAUCN280050000000005          	2015	M06	        4180	
LAUCN280050000000006          	2010	M06	        4876	
LAUCN280050000000006          	2011	M06	        4995	
LAUCN280050000000006          	2012	M06	        4756	
LAUCN280050000000006          	2013	M06	        4573	
LAUCN280050000000006          	2014	M06	        4430	
LAUCN280050000000006          	2015	M06	        4581	
LAUCN280070000000003          	2010	M06	        12.9	
LAUCN280070000000003          	2011	M06	        12.0	
LAUCN280070000000003          	2012	M06	        10.5	
LAUCN280070000000003          	2013	M06	        10.2	
LAUCN280070000000003          	2014	M06	         9.4	
LAUCN280070000000003          	2015	M06	         8.3	
LAUCN280070000000004          	2010	M06	        1023	
LAUCN280070000000004          	2011	M06	         969	
LAUCN280070000000004          	2012	M06	         810	
LAUCN280070000000004          	2013	M06	         754	
LAUCN280070000000004          	2014	M06	         678	
LAUCN280070000000004          	2015	M06	         592	
LAUCN280070000000005          	2010	M06	        6882	
LAUCN280070000000005          	2011	M06	        7137	
LAUCN280070000000005          	2012	M06	        6889	
LAUCN280070000000005          	2013	M06	        6659	
LAUCN280070000000005          	2014	M06	        6525	
LAUCN280070000000005          	2015	M06	        6559	
LAUCN280070000000006          	2010	M06	        7905	
LAUCN280070000000006          	2011	M06	        8106	
LAUCN280070000000006          	2012	M06	        7699	
LAUCN280070000000006          	2013	M06	        7413	
LAUCN280070000000006          	2014	M06	        7203	
LAUCN280070000000006          	2015	M06	        7151	
LAUCN280090000000003          	2010	M06	        12.6	
LAUCN280090000000003          	2011	M06	        13.5	
LAUCN280090000000003          	2012	M06	        11.3	
LAUCN280090000000003          	2013	M06	        11.8	
LAUCN280090000000003          	2014	M06	        10.3	
LAUCN280090000000003          	2015	M06	         9.3	
